baseline_id,structure,structural_deviation,source_term,source_partition
SB4583,renal glomerular-tubular filtration and fluid-balance structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Renal colic,remaining_5256
SB4584,"central nervous tissue, cerebrospinal-fluid, and intracranial structural network",loss of cellular viability with local tissue structural breakdown,Renal cortical necrosis,remaining_5256
SB4585,renal glomerular-tubular filtration and fluid-balance structure,abnormal enclosed fluid or semisolid cavity within the named tissue,Renal cyst,remaining_5256
SB4586,renal glomerular-tubular filtration and fluid-balance structure,"altered configuration or regulated output of the named structure, expressed as the state described by renal dysgenesis",Renal dysgenesis,remaining_5256
SB4587,renal glomerular-tubular filtration and fluid-balance structure,reduced or unstable functional output insufficient to maintain the reference structural state,Renal failure,remaining_5256
SB4588,renal glomerular-tubular filtration and fluid-balance structure,reduced or unstable functional output insufficient to maintain the reference structural state,Renal failure acute,remaining_5256
SB4589,renal glomerular-tubular filtration and fluid-balance structure,reduced or unstable functional output insufficient to maintain the reference structural state,Renal failure aggravated,remaining_5256
SB4590,renal glomerular-tubular filtration and fluid-balance structure,reduced or unstable functional output insufficient to maintain the reference structural state,Renal failure chronic,remaining_5256
SB4591,renal glomerular-tubular filtration and fluid-balance structure,departure from the reference structural configuration or regulated functional range,Renal function test abnormal,remaining_5256
SB4592,renal glomerular-tubular filtration and fluid-balance structure,loss or absence of the named structural component or regulated function,Renal graft loss,remaining_5256
SB4593,renal glomerular-tubular filtration and fluid-balance structure,vascular or tissue integrity breach with blood extravasation/accumulation,Renal haemorrhage,remaining_5256
SB4594,renal glomerular-tubular filtration and fluid-balance structure,"altered configuration or regulated output of the named structure, expressed as the state described by renal impairment",Renal impairment,remaining_5256
SB4595,renal glomerular-tubular filtration and fluid-balance structure,sustained perfusion failure with loss of local tissue viability,Renal infarct,remaining_5256
SB4596,renal glomerular-tubular filtration and fluid-balance structure,reduced or unstable functional output insufficient to maintain the reference structural state,Renal insufficiency aggravated,remaining_5256
SB4597,renal glomerular-tubular filtration and fluid-balance structure,localized tissue overgrowth or mass formation with altered normal architecture,Renal mass,remaining_5256
SB4598,renal glomerular-tubular filtration and fluid-balance structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Renal neoplasm,remaining_5256
SB4599,renal glomerular-tubular filtration and fluid-balance structure,increased nociceptive signaling associated with local tissue or neural perturbation,Renal pain,remaining_5256
SB4600,renal glomerular-tubular filtration and fluid-balance structure,loss of cellular viability with local tissue structural breakdown,Renal papillary necrosis,remaining_5256
SB4601,renal glomerular-tubular filtration and fluid-balance structure,"altered configuration or regulated output of the named structure, expressed as the state described by renal rickets",Renal rickets,remaining_5256
SB4602,renal glomerular-tubular filtration and fluid-balance structure,hydrogen-ion activity above the reference range with reduced extracellular-fluid pH,Renal tubular acidosis,remaining_5256
SB4603,renal glomerular-tubular filtration and fluid-balance structure,departure from the reference structural configuration or regulated functional range,Renal tubular disorder,remaining_5256
SB4604,renal glomerular-tubular filtration and fluid-balance structure,loss of cellular viability with local tissue structural breakdown,Renal tubular necrosis,remaining_5256
SB4605,renal glomerular-tubular filtration and fluid-balance structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Renal vasculitis,remaining_5256
SB4606,renal glomerular-tubular filtration and fluid-balance structure,intraluminal clot formation causing partial or complete flow obstruction,Renal vein thrombosis,remaining_5256
SB4607,"vascular wall tone, lumen, and blood-flow structure",vascular pressure/load above the reference hemodynamic state,Renovascular hypertension,remaining_5256
SB4608,whole-organism tissue mechanical and barrier integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Reperfusion injury,remaining_5256
SB4609,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by repetitive speech",Repetitive speech,remaining_5256
SB4610,whole-organism tissue mechanical and barrier integrity structure,overload-associated connective or myofascial fiber disruption,Repetitive strain injury,remaining_5256
SB4611,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Reproductive toxicity,remaining_5256
SB4612,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Reproductive tract disorder,remaining_5256
SB4613,"urinary bladder wall, storage, outlet, and emptying-control structure","altered configuration or regulated output of the named structure, expressed as the state described by residual urine volume",Residual urine volume,remaining_5256
SB4614,"pulmonary airway-alveolar, pleural, and gas-exchange structure",departure from the reference structural configuration or regulated functional range,Respiration abnormal,remaining_5256
SB4615,"pulmonary airway-alveolar, pleural, and gas-exchange structure","altered configuration or regulated output of the named structure, expressed as the state described by respiration irregularity",Respiration irregularity,remaining_5256
SB4616,extracellular-fluid electrolyte and acid-base balance structure,hydrogen-ion activity above the reference range with reduced extracellular-fluid pH,Respiratory acidosis,remaining_5256
SB4617,extracellular-fluid electrolyte and acid-base balance structure,hydrogen-ion activity below the reference range with elevated extracellular-fluid pH,Respiratory alkalosis,remaining_5256
SB4618,"pulmonary airway-alveolar, pleural, and gas-exchange structure",collapse of integrated vital-function continuity and sustained organism-level state,Respiratory arrest,remaining_5256
SB4619,limbic-cortical affective and behavioral-control network,persistent alteration of affective-valence and motivational network state,Respiratory depression,remaining_5256
SB4620,"pulmonary airway-alveolar, pleural, and gas-exchange structure",departure from the reference structural configuration or regulated functional range,Respiratory disorder,remaining_5256
SB4621,"pulmonary airway-alveolar, pleural, and gas-exchange structure",departure from the reference structural configuration or regulated functional range,Respiratory disorder neonatal,remaining_5256
SB4622,pulmonary airway-alveolar ventilation and gas-exchange structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Respiratory distress,remaining_5256
SB4623,pulmonary airway-alveolar ventilation and gas-exchange structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Respiratory distress syndrome,remaining_5256
SB4624,pulmonary airway-alveolar ventilation and gas-exchange structure,reduced or unstable functional output insufficient to maintain the reference structural state,Respiratory failure,remaining_5256
SB4625,pulmonary airway-alveolar ventilation and gas-exchange structure,reduced or unstable functional output insufficient to maintain the reference structural state,Respiratory failure aggravated,remaining_5256
SB4626,"pulmonary airway-alveolar, pleural, and gas-exchange structure",reduced or unstable functional output insufficient to maintain the reference structural state,Respiratory insufficiency,remaining_5256
SB4627,"pulmonary airway-alveolar, pleural, and gas-exchange structure","altered configuration or regulated output of the named structure, expressed as the state described by respiratory moniliasis",Respiratory moniliasis,remaining_5256
SB4628,"pulmonary airway-alveolar, pleural, and gas-exchange structure",reduced or absent motor neural output and target-tissue activation,Respiratory paralysis,remaining_5256
SB4629,"pulmonary airway-alveolar, pleural, and gas-exchange structure",measured or functional quantity shifted below its reference structural range,Respiratory rate decreased,remaining_5256
SB4630,"pulmonary airway-alveolar, pleural, and gas-exchange structure","altered configuration or regulated output of the named structure, expressed as the state described by respiratory sighs",Respiratory sighs,remaining_5256
SB4631,"pulmonary airway-alveolar, pleural, and gas-exchange structure",measured or functional quantity shifted below its reference structural range,Respiratory sounds decreased,remaining_5256
SB4632,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Respiratory syncytial virus infection,remaining_5256
SB4633,"conducting-airway mucosal, ciliary, and secretion-clearance structure","altered configuration or regulated output of the named structure, expressed as the state described by respiratory tract congestion",Respiratory tract congestion,remaining_5256
SB4634,vascular wall and hemostatic integrity structure,vascular or tissue integrity breach with blood extravasation/accumulation,Respiratory tract haemorrhage,remaining_5256
SB4635,"conducting-airway mucosal, ciliary, and secretion-clearance structure",pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Respiratory tract infection,remaining_5256
SB4636,"conducting-airway mucosal, ciliary, and secretion-clearance structure",pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Respiratory tract infection viral,remaining_5256
SB4637,"conducting-airway mucosal, ciliary, and secretion-clearance structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Respiratory tract oedema,remaining_5256
SB4638,"developmental tissue-patterning, morphogenesis, and organ-architecture structure",departure from the reference structural configuration or regulated functional range,Restless legs syndrome,remaining_5256
SB4639,limbic-cortical affective and behavioral-control network,increase in magnitude or instability of a pre-existing structural deviation,Restlessness aggravated,remaining_5256
SB4640,myocardial chamber contraction and cardiac-output structure,structural-functional tissue disorder with impaired normal operation of the named structure,Restrictive cardiomyopathy,remaining_5256
SB4641,"female reproductive tract, ovarian, uterine, and gestational structure","altered configuration or regulated output of the named structure, expressed as the state described by retained placenta",Retained placenta,remaining_5256
SB4642,"female reproductive tract, ovarian, uterine, and gestational structure","altered configuration or regulated output of the named structure, expressed as the state described by retained placenta or membranes",Retained placenta or membranes,remaining_5256
SB4643,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by retching",Retching,remaining_5256
SB4644,whole-organism integrated physiological structure,measured or functional quantity shifted below its reference structural range,Retching reflex decreased,remaining_5256
SB4645,"erythrocyte production, integrity, and oxygen-transport structure",quantity of the named cell/tissue component reduced below the reference range,Reticulocytopenia,remaining_5256
SB4646,"erythrocyte production, integrity, and oxygen-transport structure","abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Reticulocytosis,remaining_5256
SB4647,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by reticuloendothelial system stimulated",Reticuloendothelial system stimulated,remaining_5256
SB4648,whole-organism integrated physiological structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Reticuloendotheliosis,remaining_5256
SB4649,"ocular optical, retinal, vascular, and visual-neural structure",localized vessel-wall dilation with reduced tensile integrity,Retinal aneurysm,remaining_5256
SB4650,"ocular optical, retinal, vascular, and visual-neural structure",partial or complete luminal/pathway blockage with impaired transit or flow,Retinal artery occlusion,remaining_5256
SB4651,"ocular optical, retinal, vascular, and visual-neural structure","reduction of tissue mass, cell volume, or functional structural content",Retinal atrophy,remaining_5256
SB4652,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal damage",Retinal damage,remaining_5256
SB4653,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal degeneration",Retinal degeneration,remaining_5256
SB4654,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal depigmentation",Retinal depigmentation,remaining_5256
SB4655,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal deposits",Retinal deposits,remaining_5256
SB4656,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal detachment",Retinal detachment,remaining_5256
SB4657,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Retinal disorder,remaining_5256
SB4658,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal exudates",Retinal exudates,remaining_5256
SB4659,"ocular optical, retinal, vascular, and visual-neural structure",vascular or tissue integrity breach with blood extravasation/accumulation,Retinal haemorrhage,remaining_5256
SB4660,"ocular optical, retinal, vascular, and visual-neural structure",externally imposed mechanical/thermal/chemical tissue-integrity disruption,Retinal injury,remaining_5256
SB4661,"ocular optical, retinal, vascular, and visual-neural structure",abnormal concentration or presence of the named material/cell state in circulating blood,Retinal ischaemia,remaining_5256
SB4662,"ocular optical, retinal, vascular, and visual-neural structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Retinal oedema,remaining_5256
SB4663,"ocular optical, retinal, vascular, and visual-neural structure",structural continuity failure producing an abnormal opening or separation,Retinal pigment epithelial tear,remaining_5256
SB4664,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by retinal pigmentation",Retinal pigmentation,remaining_5256
SB4665,"ocular optical, retinal, vascular, and visual-neural structure",structural continuity failure producing an abnormal opening or separation,Retinal tear,remaining_5256
SB4666,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Retinal toxicity,remaining_5256
SB4667,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Retinal vascular disorder,remaining_5256
SB4668,"ocular optical, retinal, vascular, and visual-neural structure",partial or complete luminal/pathway blockage with impaired transit or flow,Retinal vascular occlusion,remaining_5256
SB4669,"ocular optical, retinal, vascular, and visual-neural structure",intraluminal clot formation causing partial or complete flow obstruction,Retinal vascular thrombosis,remaining_5256
SB4670,"ocular optical, retinal, vascular, and visual-neural structure",partial or complete luminal/pathway blockage with impaired transit or flow,Retinal vein occlusion,remaining_5256
SB4671,"ocular optical, retinal, vascular, and visual-neural structure",intraluminal clot formation causing partial or complete flow obstruction,Retinal vein thrombosis,remaining_5256
SB4672,"ocular optical, retinal, vascular, and visual-neural structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Retinitis,remaining_5256
SB4673,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Retinogram abnormal,remaining_5256
SB4674,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Retinoic acid syndrome,remaining_5256
SB4675,"ocular optical, retinal, vascular, and visual-neural structure",structural-functional tissue disorder with impaired normal operation of the named structure,Retinopathy of prematurity,remaining_5256
SB4676,"cortical attention, cognition, consciousness, and arousal network","impaired encoding, retention, or retrieval within memory-supporting neural networks",Retrograde amnesia,remaining_5256
SB4677,"male gonadal, ductal, accessory-gland, and reproductive-output structure","altered configuration or regulated output of the named structure, expressed as the state described by retrograde ejaculation",Retrograde ejaculation,remaining_5256
SB4678,whole-organism integrated physiological structure,excess matrix deposition/remodeling with increased tissue stiffness and reduced normal architecture,Retroperitoneal fibrosis,remaining_5256
SB4679,vascular wall and hemostatic integrity structure,vascular or tissue integrity breach with blood extravasation/accumulation,Retroperitoneal haematoma,remaining_5256
SB4680,vascular wall and hemostatic integrity structure,vascular or tissue integrity breach with blood extravasation/accumulation,Retroperitoneal haemorrhage,remaining_5256
SB4681,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure",abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Retrosternal discomfort,remaining_5256
SB4682,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure",increased nociceptive signaling associated with local tissue or neural perturbation,Retrosternal pain,remaining_5256
SB4683,"central nervous tissue, cerebrospinal-fluid, and intracranial structural network",excess or sustained contractile activation causing abnormal narrowing or mechanical state,Reversible cerebral vasoconstriction syndrome,remaining_5256
SB4684,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by reversible ischaemic neurological deficit",Reversible ischaemic neurological deficit,remaining_5256
SB4685,"developmental tissue-patterning, morphogenesis, and organ-architecture structure",departure from the reference structural configuration or regulated functional range,Reye's syndrome,remaining_5256
SB4686,skeletal-muscle fiber excitation-contraction structure,"altered configuration or regulated output of the named structure, expressed as the state described by rhabdomyolysis",Rhabdomyolysis,remaining_5256
SB4687,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Rheumatic disorder,remaining_5256
SB4688,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by rheumatism",Rheumatism,remaining_5256
SB4689,"synovial joint cartilage, capsule, fluid, and periarticular structure","localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Rheumatoid arthritis,remaining_5256
SB4690,"synovial joint cartilage, capsule, fluid, and periarticular structure","localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Rheumatoid arthritis aggravated,remaining_5256
SB4691,whole-organism integrated physiological structure,increased nociceptive signaling localized to the named structure,Rhinalgia,remaining_5256
SB4692,"nasal-sinus mucosal barrier, vascular, and drainage structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Rhinitis,remaining_5256
SB4693,"nasal-sinus mucosal barrier, vascular, and drainage structure","exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Rhinitis allergic,remaining_5256
SB4694,"nasal-sinus mucosal barrier, vascular, and drainage structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Rhinitis atrophic,remaining_5256
SB4695,"nasal-sinus mucosal barrier, vascular, and drainage structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Rhinitis perennial,remaining_5256
SB4696,"nasal-sinus mucosal barrier, vascular, and drainage structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Rhinitis seasonal,remaining_5256
SB4697,"nasal-sinus mucosal barrier, vascular, and drainage structure",excess or abnormal fluid/material outflow from the named structure,Rhinorrhoea,remaining_5256
SB4698,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by rhonchi",Rhonchi,remaining_5256
SB4699,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by rhythm idioventricular",Rhythm idioventricular,remaining_5256
SB4700,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure",loss of mineralized skeletal continuity under mechanical load,Rib fracture,remaining_5256
SB4701,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure",increased nociceptive signaling associated with local tissue or neural perturbation,Rib pain,remaining_5256
SB4702,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure","altered configuration or regulated output of the named structure, expressed as the state described by rickets",Rickets,remaining_5256
SB4703,peripheral-central nociceptive sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Right upper quadrant pain,remaining_5256
SB4704,myocardial chamber contraction and cardiac-output structure,reduced or unstable functional output insufficient to maintain the reference structural state,Right ventricular failure,remaining_5256
SB4705,central-peripheral thermoregulatory heat-production and heat-loss structure,"altered configuration or regulated output of the named structure, expressed as the state described by rigors",Rigors,remaining_5256
SB4706,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by risus sardonicus",Risus sardonicus,remaining_5256
SB4707,whole-organism tissue mechanical and barrier integrity structure,"altered configuration or regulated output of the named structure, expressed as the state described by road traffic accident",Road traffic accident,remaining_5256
SB4708,cutaneous epidermal-dermal barrier and local immune structure,"altered configuration or regulated output of the named structure, expressed as the state described by rosacea",Rosacea,remaining_5256
SB4709,tendon-ligament collagenous load-transfer structure,departure from the reference structural configuration or regulated functional range,Rotator cuff syndrome,remaining_5256
SB4710,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by rubber sensitivity",Rubber sensitivity,remaining_5256
SB4711,coronary arterial perfusion and myocardial oxygen-delivery structure,sustained perfusion failure with loss of local tissue viability,ST segment elevation myocardial infarction,remaining_5256
SB4712,whole-organism integrated physiological structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Sacroiliitis,remaining_5256
SB4713,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by saliva altered",Saliva altered,remaining_5256
SB4714,"oral mucosal, gingival, dental, and salivary-interface structure",partial or complete luminal/pathway blockage with impaired transit or flow,Salivary duct obstruction,remaining_5256
SB4715,"oral mucosal, gingival, dental, and salivary-interface structure",departure from the reference structural configuration or regulated functional range,Salivary gland disorder,remaining_5256
SB4716,"oral mucosal, gingival, dental, and salivary-interface structure",increase in tissue mass or cellular content beyond the reference configuration,Salivary gland enlargement,remaining_5256
SB4717,"oral mucosal, gingival, dental, and salivary-interface structure",increased nociceptive signaling associated with local tissue or neural perturbation,Salivary gland pain,remaining_5256
SB4718,"oral mucosal, gingival, dental, and salivary-interface structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Salivary gland swelling,remaining_5256
SB4719,"oral mucosal, gingival, dental, and salivary-interface structure",abnormal increase or ectopic release of secreted material,Salivary hypersecretion,remaining_5256
SB4720,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by salivation",Salivation,remaining_5256
SB4721,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Salmonella sepsis,remaining_5256
SB4722,whole-organism integrated physiological structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Salmonellosis,remaining_5256
SB4723,whole-organism integrated physiological structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Salpingitis,remaining_5256
SB4724,"systemic immune-recognition, signaling, and effector-response structure","abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Sarcoidosis,remaining_5256
SB4725,"tissue cellular proliferation, differentiation, and architecture structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Sarcoma,remaining_5256
SB4726,"female reproductive, gestational, placental, and reproductive-output structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Sarcoma uterus,remaining_5256
SB4727,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by scab",Scab,remaining_5256
SB4728,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by scald",Scald,remaining_5256
SB4729,cutaneous epidermal-dermal barrier and local immune structure,"altered configuration or regulated output of the named structure, expressed as the state described by scar",Scar,remaining_5256
SB4730,limbic-cortical affective and behavioral-control network,departure from the reference structural configuration or regulated functional range,Schizoaffective disorder,remaining_5256
SB4731,limbic-cortical affective and behavioral-control network,"disorganized salience, perception, and reality-model integration within cortical-limbic networks",Schizophrenia,remaining_5256
SB4732,limbic-cortical affective and behavioral-control network,acute or subacute state transition of the named structure in response to an external or internal perturbation,Schizophrenic reaction,remaining_5256
SB4733,limbic-cortical affective and behavioral-control network,departure from the reference structural configuration or regulated functional range,Schizophreniform disorder,remaining_5256
SB4734,spinal cord and spinal-root neural-conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by sciatica",Sciatica,remaining_5256
SB4735,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scintillating scotoma",Scintillating scotoma,remaining_5256
SB4736,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scleral discolouration",Scleral discolouration,remaining_5256
SB4737,ocular optical-retinal-neural visual structure,departure from the reference structural configuration or regulated functional range,Scleral disorder,remaining_5256
SB4738,ocular optical-retinal-neural visual structure,vascular or tissue integrity breach with blood extravasation/accumulation,Scleral haemorrhage,remaining_5256
SB4739,ocular optical-retinal-neural visual structure,"excess magnitude, activity, quantity, or tissue state above the reference configuration",Scleral hyperaemia,remaining_5256
SB4740,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scleral icterus",Scleral icterus,remaining_5256
SB4741,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scleral pigmentation",Scleral pigmentation,remaining_5256
SB4742,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scleral thinning",Scleral thinning,remaining_5256
SB4743,ocular optical-retinal-neural visual structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Scleritis,remaining_5256
SB4744,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scleroderma",Scleroderma,remaining_5256
SB4745,ocular optical-retinal-neural visual structure,loss of normal tissue stiffness or structural support in the named structure,Scleromalacia,remaining_5256
SB4746,ocular optical-retinal-neural visual structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Sclerosing encapsulating peritonitis,remaining_5256
SB4747,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure","abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Scoliosis,remaining_5256
SB4748,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scotoma",Scotoma,remaining_5256
SB4749,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scotoma annular",Scotoma annular,remaining_5256
SB4750,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by scotoma of blind spot area",Scotoma of blind spot area,remaining_5256
SB4751,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by scratch",Scratch,remaining_5256
SB4752,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by screaming",Screaming,remaining_5256
SB4753,"male gonadal, ductal, accessory-gland, and reproductive-output structure",departure from the reference structural configuration or regulated functional range,Scrotal disorder,remaining_5256
SB4754,"male gonadal, ductal, accessory-gland, and reproductive-output structure",increased superficial vascular perfusion producing localized tissue redness,Scrotal erythema,remaining_5256
SB4755,"male gonadal, ductal, accessory-gland, and reproductive-output structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Scrotal oedema,remaining_5256
SB4756,"male gonadal, ductal, accessory-gland, and reproductive-output structure",increased nociceptive signaling associated with local tissue or neural perturbation,Scrotal pain,remaining_5256
SB4757,"male gonadal, ductal, accessory-gland, and reproductive-output structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Scrotal swelling,remaining_5256
SB4758,"male gonadal, ductal, accessory-gland, and reproductive-output structure",localized epithelial or tissue-surface loss with reduced barrier continuity,Scrotal ulcer,remaining_5256
SB4759,"systemic immune-recognition, signaling, and effector-response structure","exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Seasonal allergy,remaining_5256
SB4760,pilosebaceous sebum-production and ductal structure,departure from the reference structural configuration or regulated functional range,Sebaceous gland disorder,remaining_5256
SB4761,pilosebaceous sebum-production and ductal structure,increase in tissue mass or cellular content beyond the reference configuration,Sebaceous hyperplasia,remaining_5256
SB4762,cutaneous epidermal-dermal barrier and local immune structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Seborrhoeic dermatitis,remaining_5256
SB4763,cutaneous epidermal-dermal barrier and local immune structure,excess keratinized epithelial production causing thickened surface architecture,Seborrhoeic keratosis,remaining_5256
SB4764,whole-organism integrated physiological structure,reduced or unstable functional output insufficient to maintain the reference structural state,Secondary adrenocortical insufficiency,remaining_5256
SB4765,"erythrocyte production, integrity, and oxygen-transport structure",reduced erythrocyte/hemoglobin oxygen-transport capacity relative to systemic demand,Secondary anemia,remaining_5256
SB4766,"vascular wall tone, lumen, and blood-flow structure",vascular pressure/load above the reference hemodynamic state,Secondary hypertension,remaining_5256
SB4767,whole-organism integrated physiological structure,"deficient magnitude, activity, quantity, or tissue state below the reference configuration",Secondary hypogonadism,remaining_5256
SB4768,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Secondary infection,remaining_5256
SB4769,basal-ganglia-thalamocortical motor-control network,"altered configuration or regulated output of the named structure, expressed as the state described by secondary parkinsonism",Secondary parkinsonism,remaining_5256
SB4770,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by secondary syphilis",Secondary syphilis,remaining_5256
SB4771,whole-organism integrated physiological structure,excess sleep-state pressure or reduced arousal-network output,Sedation,remaining_5256
SB4772,"central nervous tissue, cerebrospinal-fluid, and intracranial structural network",pathologic synchronized neural excitability producing episodic network discharge,Seizure cerebral,remaining_5256
SB4773,limbic-cortical affective and behavioral-control network,"altered configuration or regulated output of the named structure, expressed as the state described by self injurious behaviour",Self injurious behaviour,remaining_5256
SB4774,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by self mutilation",Self mutilation,remaining_5256
SB4775,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by self-injurious ideation",Self-injurious ideation,remaining_5256
SB4776,"male gonadal, ductal, accessory-gland, and reproductive-output structure",departure from the reference structural configuration or regulated functional range,Semen abnormal,remaining_5256
SB4777,"male gonadal, ductal, accessory-gland, and reproductive-output structure",departure from the reference structural configuration or regulated functional range,Semen analysis abnormal,remaining_5256
SB4778,"male gonadal, ductal, accessory-gland, and reproductive-output structure",measured or functional quantity shifted below its reference structural range,Semen volume decreased,remaining_5256
SB4779,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure","excess magnitude, activity, quantity, or tissue state above the reference configuration",Senile ankylosing vertebral hyperostosis,remaining_5256
